478	304242.042531	4133963.80151
513	304199.551720	4133955.13690
519	304214.571241	4133975.65759
559	304228.288232	4134300.40987
572	304230.360772	4134290.48038
598	304304.753931	4134162.28539
600	304315.933439	4134136.15570
643	304559.215314	4133598.11830
645	304570.099078	4133574.43847
646	304575.278040	4133610.17758
647	304535.446019	4133669.83860
648	304518.120093	4133736.52349
701	304156.119672	4134296.32597
711	304582.909088	4133451.01602
712	304549.995118	4133636.08113
719	304498.821587	4133760.51106
805	304469.338891	4133826.70301
